# Elements:
C	C(13)	H	H+	N	O	O(18)	S
	C					O	
12	13.003355	1.007825	1.007276	14.003074	15.994915	17.99916	31.97207

# Masses:
C	C(13)	H	H+	N	O	O(18)	S	Mass	Name
8	0	15	1	1	0	0	0	126.127725	C8H15N H+ 
0	0	0	0	0	0	0	0	126.9144974	 
6	0	6	1	0	3	0	0	127.038971	C6H6O3 H+ 
7	0	10	1	0	2	0	0	127.075356	C7H10O2 H+ 
8	0	14	1	0	1	0	0	127.111741	C8H14O H+ 
9	0	18	1	0	0	0	0	127.148126	C9H18 H+ 
5	0	5	1	1	3	0	0	128.03422	C5H5NO3 H+ 
6	0	9	1	1	2	0	0	128.070605	C6H9NO2 H+ 
7	0	13	1	1	1	0	0	128.10699	C7H13NO H+ 
8	0	17	1	1	0	0	0	128.143375	C8H17N H+ 
5	0	4	1	0	4	0	0	129.018236	C5H4O4 H+ 
6	0	8	1	0	3	0	0	129.054621	C6H8O3 H+ 
7	0	12	1	0	2	0	0	129.091006	C7H12O2 H+ 
8	0	16	1	0	1	0	0	129.127391	C8H16O H+ 
5	0	7	1	1	3	0	0	130.04987	C5H7NO3 H+ 
9	0	7	1	1	0	0	0	130.065125	C9H7N H+ 
6	0	11	1	1	2	0	0	130.086255	C6H11NO2 H+ 
7	0	15	1	1	1	0	0	130.12264	C7H15NO H+ 
8	0	19	1	1	0	0	0	130.159025	C8H19N H+ 
5	0	6	1	0	4	0	0	131.033886	C5H6O4 H+ 
6	0	10	1	0	3	0	0	131.070271	C6H10O3 H+ 
10	0	10	1	0	0	0	0	131.085526	C10H10 H+ 
7	0	14	1	0	2	0	0	131.106656	C7H14O2 H+ 
9	0	22	1	0	0	0	0	131.179426	C9H22 H+ 
4	0	5	1	1	4	0	0	132.029135	C4H5NO4 H+ 
8	0	5	1	1	1	0	0	132.04439	C8H5NO H+ 
5	0	9	1	1	3	0	0	132.06552	C5H9NO3 H+ 
9	0	9	1	1	0	0	0	132.080775	C9H9N H+ 
6	0	13	1	1	2	0	0	132.101905	C6H13NO2 H+ 
7	0	17	1	1	1	0	0	132.13829	C7H17NO H+ 
0	0	0	0	0	0	0	0	133.0119629	 
5	0	8	1	0	4	0	0	133.049536	C5H8O4 H+ 
9	0	8	1	0	1	0	0	133.064791	C9H8O H+ 
10	0	12	1	0	0	0	0	133.101176	C10H12 H+ 
7	0	16	1	0	2	0	0	133.122306	C7H16O2 H+ 
3	0	3	1	1	5	0	0	134.0084	C3H3NO5 H+ 
7	0	3	1	1	2	0	0	134.023655	C7H3NO2 H+ 
8	0	7	1	1	1	0	0	134.06004	C8H7NO H+ 
5	0	11	1	1	3	0	0	134.08117	C5H11NO3 H+ 
0	0	0	0	0	0	0	0	134.1103516	 
6	0	15	1	1	2	0	0	134.117555	C6H15NO2 H+ 
9	0	10	1	0	1	0	0	135.080441	C9H10O H+ 
10	0	14	1	0	0	0	0	135.116826	C10H14 H+ 
3	0	5	1	1	5	0	0	136.02405	C3H5NO5 H+ 
4	0	9	1	1	4	0	0	136.060435	C4H9NO4 H+ 
5	0	13	1	1	3	0	0	136.09682	C5H13NO3 H+ 
0	0	0	0	0	0	0	0	136.1240387	 
6	0	17	1	1	2	0	0	136.133205	C6H17NO2 H+ 
8	0	8	1	0	2	0	0	137.059706	C8H8O2 H+ 
9	0	12	1	0	1	0	0	137.096091	C9H12O H+ 
10	0	16	1	0	0	0	0	137.132476	C10H16 H+ 
7	0	7	1	1	2	0	0	138.054955	C7H7NO2 H+ 
5	0	15	1	1	3	0	0	138.11247	C5H15NO3 H+ 
6	0	19	1	1	2	0	0	138.148855	C6H19NO2 H+ 
7	0	6	1	0	3	0	0	139.038971	C7H6O3 H+ 
0	0	0	0	0	0	0	0	139.0450745	 
8	0	10	1	0	2	0	0	139.075356	C8H10O2 H+ 
9	0	14	1	0	1	0	0	139.111741	C9H14O H+ 
10	0	18	1	0	0	0	0	139.148126	C10H18 H+ 
6	0	5	1	1	3	0	0	140.03422	C6H5NO3 H+ 
0	0	0	0	0	0	0	0	140.0473022	 
7	0	9	1	1	2	0	0	140.070605	C7H9NO2 H+ 
4	0	13	1	1	4	0	0	140.091735	C4H13NO4 H+ 
8	0	13	1	1	1	0	0	140.10699	C8H13NO H+ 
5	0	17	1	1	3	0	0	140.12812	C5H17NO3 H+ 
9	0	17	1	1	0	0	0	140.143375	C9H17N H+ 
7	0	8	1	0	3	0	0	141.054621	C7H8O3 H+ 
8	0	12	1	0	2	0	0	141.091006	C8H12O2 H+ 
9	0	16	1	0	1	0	0	141.127391	C9H16O H+ 
10	0	20	1	0	0	0	0	141.163776	C10H20 H+ 
5	0	3	1	1	4	0	0	142.013485	C5H3NO4 H+ 
6	0	7	1	1	3	0	0	142.04987	C6H7NO3 H+ 
10	0	7	1	1	0	0	0	142.065125	C10H7N H+ 
0	0	0	0	0	0	0	0	142.0697327	 
7	0	11	1	1	2	0	0	142.086255	C7H11NO2 H+ 
8	0	15	1	1	1	0	0	142.12264	C8H15NO H+ 
9	0	19	1	1	0	0	0	142.159025	C9H19N H+ 
6	0	6	1	0	4	0	0	143.033886	C6H6O4 H+ 
7	0	10	1	0	3	0	0	143.070271	C7H10O3 H+ 
8	0	14	1	0	2	0	0	143.106656	C8H14O2 H+ 
9	0	18	1	0	1	0	0	143.143041	C9H18O H+ 
5	0	5	1	1	4	0	0	144.029135	C5H5NO4 H+ 
6	0	9	1	1	3	0	0	144.06552	C6H9NO3 H+ 
10	0	9	1	1	0	0	0	144.080775	C10H9N H+ 
7	0	13	1	1	2	0	0	144.101905	C7H13NO2 H+ 
8	0	17	1	1	1	0	0	144.13829	C8H17NO H+ 
5	0	4	1	0	5	0	0	145.013151	C5H4O5 H+ 
6	0	8	1	0	4	0	0	145.049536	C6H8O4 H+ 
10	0	8	1	0	1	0	0	145.064791	C10H8O H+ 
7	0	12	1	0	3	0	0	145.085921	C7H12O3 H+ 
11	0	12	1	0	0	0	0	145.101176	C11H12 H+ 
8	0	16	1	0	2	0	0	145.122306	C8H16O2 H+ 
5	0	7	1	1	4	0	0	146.044785	C5H7NO4 H+ 
9	0	7	1	1	1	0	0	146.06004	C9H7NO H+ 
6	0	11	1	1	3	0	0	146.08117	C6H11NO3 H+ 
10	0	11	1	1	0	0	0	146.096425	C10H11N H+ 
7	0	15	1	1	2	0	0	146.117555	C7H15NO2 H+ 
8	0	19	1	1	1	0	0	146.15394	C8H19NO H+ 
5	0	6	1	0	5	0	0	147.028801	C5H6O5 H+ 
6	0	10	1	0	4	0	0	147.065186	C6H10O4 H+ 
10	0	10	1	0	1	0	0	147.080441	C10H10O H+ 
7	0	14	1	0	3	0	0	147.101571	C7H14O3 H+ 
11	0	14	1	0	0	0	0	147.116826	C11H14 H+ 
8	0	18	1	0	2	0	0	147.137956	C8H18O2 H+ 
8	0	5	1	1	2	0	0	148.039305	C8H5NO2 H+ 
5	0	9	1	1	4	0	0	148.060435	C5H9NO4 H+ 
9	0	9	1	1	1	0	0	148.07569	C9H9NO H+ 
6	0	13	1	1	3	0	0	148.09682	C6H13NO3 H+ 
10	0	13	1	1	0	0	0	148.112075	C10H13N H+ 
7	0	17	1	1	2	0	0	148.133205	C7H17NO2 H+ 
8	0	21	1	1	1	0	0	148.16959	C8H21NO H+ 
8	0	4	1	0	3	0	0	149.023321	C8H4O3 H+ 
5	0	8	1	0	5	0	0	149.044451	C5H8O5 H+ 
9	0	8	1	0	2	0	0	149.059706	C9H8O2 H+ 
10	0	12	1	0	1	0	0	149.096091	C10H12O H+ 
7	0	16	1	0	3	0	0	149.117221	C7H16O3 H+ 
11	0	16	1	0	0	0	0	149.132476	C11H16 H+ 
8	0	20	1	0	2	0	0	149.153606	C8H20O2 H+ 
4	0	7	1	1	5	0	0	150.0397	C4H7NO5 H+ 
8	0	7	1	1	2	0	0	150.054955	C8H7NO2 H+ 
5	0	11	1	1	4	0	0	150.076085	C5H11NO4 H+ 
9	0	11	1	1	1	0	0	150.09134	C9H11NO H+ 
0	0	0	0	0	0	0	0	150.1060486	 
10	0	15	1	1	0	0	0	150.127725	C10H15N H+ 
